fir_code,icao_prefix,country,fir_name
PAZAA,PA,United States (Alaska),ANCHORAGE ARCTIC
YBBB,YB,Australia (Brisbane),BRISBANE
ENOB,EN,Norway,BODO OCEANIC
ESAA,ES,Sweden,SWEDEN
FAJO,FA,South Africa,JOHANNESBURG OCEANIC
FYWF,FY,Namibia,WINDHOEK
ULLL,UL,Russia (NW),SANKT-PETERBURG
WAAF,WA,Indonesia (East),UJUNG PANDANG FIR
WBFC,WB,Malaysia (Borneo),KOTA KINABALU
WIIF,WI,Indonesia (West),JAKARTA
WMFC,WM,Malaysia (Peninsula),KUALA LUMPUR
WSJC,WS,Singapore,SINGAPORE
EVRR,EV,Latvia,RIGA
UMKK,UM,Belarus/Kaliningrad,KALININGRAD
BGGL,BG,Greenland,NUUK
CZQM,CZ,Canada,MONCTON
CZQX,CZ,Canada,GANDER
CZQXO,CZ,Canada,GANDER OCEANIC
CZVR,CZ,Canada,VANCOUVER
KZAK,KZ,United States,OAKLAND OCEANIC
KZWY,KZ,United States,NEW YORK OCEANIC
PAZA,PA,United States (Alaska),ANCHORAGE
PGZU,PG,United States (Guam),GUAM CERAP
BIRD,BI,Iceland,REYKJAVIK
CZYZ,CZ,Canada,TORONTO
KZBWF,KZ,United States,BOSTON
KZDCF,KZ,United States,WASHINGTON
KZLA,KZ,United States,LOS ANGELES
KZNYF,KZ,United States,NEW YORK
KZOBF,KZ,United States,CLEVELAND
KZOBU,KZ,United States,CLEVELAND
MMFR,MM,Mexico,MEXICO
MMZT,MM,Mexico,MAZATLAN FIR
CZEG,CZ,Canada,EDMONTON
FNAN,FN,Angola,LUANDA
FQBE,FQ,Mozambique,BEIRA
FWLL,FW,Malawi,LILONGWE FIR
HTDCF,HT,Tanzania,DAR ES SALAAM FIR
HTDCU,HT,Tanzania,DAR ES SALAAM UIR
KZOA,KZ,United States,OAKLAND
KZMP,KZ,United States,MINNEAPOLIS
PAZAO,PA,United States (Alaska),ANCHORAGE OCEANIC
RJJJ,RJ,Japan,FUKUOKA
SAMF,SA,Argentina,MENDOZA
SUEO,SU,Uruguay,MONTEVIDEO
UHMMU,UH,Russia (Far East),MAGADAN-UIR
DAAA,DA,Algeria,ALGER-FIR
GOOOF,GO,Senegal,DAKAR TERRESTRE FIR
GOOOO,GO,Senegal,DAKAR OCEANIQUE
GOOOU,GO,Senegal,DAKAR TERRESTRE UIR
LDZO,LD,Croatia,ZAGREB
LFBB,LF,France,BORDEAUX
LFFFF,LF,France,PARIS
LFFFU,LF,France,FRANCE
LIMM,LI,Italy,MILANO
LKAA,LK,Czech Republic,PRAHA
LSAS,LS,Switzerland,SWITZERLAND
SKEC,SK,Colombia,BARRANQUILLA
SKED,SK,Colombia,BOGOTA
SVZM,SV,Venezuela,MAIQUETIA
SYGC,SY,Guyana,GEORGETOWN
TNCF,TN,Netherlands Antilles,CURACAO
EETT,EE,Estonia,TALLINN
ENOR,EN,Norway,POLARIS
FBGR,FB,Botswana,GABORONE
LAAA,LA,Albania,TIRANA
LBSR,LB,Bulgaria,SOFIA
LRBB,LR,Romania,BUCURESTI
LTBB,LT,Turkey,ISTANBUL
UGGG,UG,Georgia,TBILISI
UKBU,UK,Ukraine,KYIV UIR
UKDV,UK,Ukraine,DNIPRO FIR
URRV,UR,Russia (South),ROSTOV-NA-DONU
LTAA,LT,Turkey,ANKARA
UKFV,UK,Ukraine,SIMFEROPOL FIR
SBAO,SB,Brazil,ATLANTICO
SBAZ,SB,Brazil,AMAZONICA
SBBS,SB,Brazil,BRASILIA
SBCW,SB,Brazil,CURITIBA
SBRE,SB,Brazil,RECIFE
