AWID,NDID,NDIC,
------,-----,----,---------------
A1,BKK,VT,135336N1003548E
A1,ROBKA,VT,141042N1012506E
A1,SELKA,VT,142018N1015312E
A1,TOPER,VT,143806N1024536E
A1,SANOT,VT,145136N1032548E
A1,PASAT,VT,145724N1034724E
A1,VENPO,VT,150642N1042200E
A1,UBL,VT,151442N1045200E
A1,POTEV,VT,152154N1052206E
A1,BUTRA,VL,152506N1053548E
A1,PAPRA,VL,154600N1071100E
A1,TANNA,VV,155412N1073930E
A1,PATNO,VV,155754N1075306E
A1,DAN,VV,160312N1081154E
A1,KANGU,VV,162118N1083954E
A1,BINKU,VV,163336N1085824E
A1,BUNTA,ZJ,165000N1092342E
A1,LENKO,ZJ,172500N1101800E
A1,IKELA,ZJ,183942N1121442E
A1,IDOSI,VH,190000N1123000E
A1,BIGEX,VH,221312N1140148E
A1,MAGOG,ZG,221748N1154930E
A1,ELATO,RC,222000N1173000E
A1,ANPOG,RC,223618N1175718E
A1,KADLO,RC,225718N1183230E
A1,MKG,RC,233542N1193812E
A1,SWORD,RC,240012N1200542E
A1,WUCHI,RC,241206N1201906E
A1,HOMEI,RC,241406N1202124E
A1,HLG,RC,243336N1204336E
A1,PIDGY,RC,245000N1210442E
A1,APU,RC,251036N1213118E
A1,ANNNA,RC,253418N1220118E
A1,DRAKE,RC,253654N1220442E
A1,AISAR,RC,255636N1222954E
A1,OSTAR,RC,261954N1230000E
A1,AIPOM,RC,263924N1232530E
A1,BULAN,RC,270530N1240000E
A1,IGMON,RJ,273718N1244312E
A1,SAPET,RJ,283812N1260754E
A1,URUMA,RJ,285812N1263448E
A1,AKVAS,RJ,293512N1272754E
A1,RUSAR,RJ,295154N1275012E
A1,JEDAI,RJ,304630N1291206E
A1,KOSHI,RJ,311718N1295754E
A1,KAZAN,RJ,312306N1300642E
A1,HKC,RJ,314148N1303500E
A1,JINGU,RJ,315412N1310254E
A1,FENIX,RJ,320830N1313530E
A1,SUC,RJ,324524N1325948E
A1,GREEN,RJ,325354N1333400E
A1,JAKAL,RJ,330342N1341406E
A1,HALON,RJ,331454N1345948E
A1,ALBAT,RJ,332154N1352630E
A1,KEC,RJ,332654N1354742E
A10,PR,CY,541548N1302524W
A10,MITEK,CY,534600N1295048W
A10,YJQ,CY,521106N1280648W
A100,KL,UR,475306N0400600E
A100,ROS,UR,473006N0395600E
A100,AMEPU,UR,471154N0394930E
A100,SARZI,UR,463548N0384300E
A100,ENILO,UR,461030N0380200E
A100,UGZIR,UR,455324N0373500E
A100,RIDLA,UR,454500N0372154E
A100,ARNAD,UR,452100N0363848E
A102,BABUR,UR,452312N0493000E
A102,UP,UR,455536N0470336E
A102,OLINU,UR,460600N0463036E
A102,SUFOR,UR,462430N0452936E
A102,BAKAM,UR,465636N0433754E
A102,NEPUT,UR,471000N0424736E
A102,OBETI,UR,472800N0413648E
A102,KA,UR,473518N0410654E
A102,ABLOG,UR,474818N0402236E
A102,KL,UR,475306N0400600E
A102,ODRIB,UR,475442N0395812E
A102,NALEM,UK,475700N0394830E
A103,PINAX,UT,371500N0690600E
A103,OKTAB,UT,381054N0685336E
A103,DBE,UT,383230N0684918E
A103,SX,UT,385042N0685042E
A103,AMEMA,UT,392000N0685300E
A103,BITBI,UT,393330N0685412E
A103,PF,UT,400336N0685642E
A103,RORTA,UT,400824N0690154E
A103,ASBUG,UT,401312N0690618E
A103,DILRO,UT,402430N0691636E
A103,IRLOV,UT,404230N0693500E
A103,PESEN,UT,405854N0702300E
A103,UDALU,UT,405948N0703112E
A107,KYLOB,UT,375918N0694824E
A107,NAVOX,UT,380500N0692000E
A107,ABNAR,UT,381536N0690848E
A107,DBE,UT,383230N0684918E
A107,PR,UT,383218N0682342E
A107,SOPNO,UZ,383236N0680412E
A114,OLRAM,UZ,390130N0675824E
A114,MOSOM,UT,393400N0681000E
A117,ASB,UT,380012N0582006E
A117,URABA,UT,381330N0591918E
A117,DUTAR,UT,383918N0612300E
A117,LBA,UT,385448N0633524E
A118,CHARD,UT,391530N0634924E
A118,LBA,UT,385448N0633524E
A118,VATIN,UT,384854N0611442E
A118,TENGA,UT,384636N0605506E
A118,ABDAN,UT,383542N0592154E
A120,UNISO,US,611724N0633936E
A120,OLEMI,US,605536N0640154E
A120,DEMUP,US,602548N0643124E
A120,PIGUR,US,600700N0644954E
A122,URL,UA,510854N0513236E
A122,INRIS,UA,512800N0521854E
A122,EKTEN,UW,513242N0523030E
A125,ASB,UT,380012N0582006E
A125,KEMOR,UT,375330N0592054E
A125,BELUG,UT,374500N0603154E
A125,NINOP,UT,373718N0615330E
A125,RINAT,UT,374118N0632206E
A125,RARUN,UT,374630N0643300E
A125,ABNEP,UT,374900N0651300E
A14,KRK,LG,392636N0200424E
A14,MALED,LG,391318N0201812E
A14,NIDRI,LG,390324N0202824E
A14,ROTSA,LG,385230N0203912E
A14,SOTEG,LG,383542N0205630E
A14,ARA,LG,380930N0212548E
A14,TRL,LG,372412N0222024E
A14,EKTOS,LG,370724N0231730E
A14,ALANI,LG,365442N0235930E
A14,MIL,LG,364454N0243112E
A14,ALIKI,LG,355530N0252054E
A14,XAVIS,LG,354142N0253436E
A14,SIT,LG,350406N0261118E
A14,GUDIS,LG,343206N0274600E
A14,KAVOS,LG,334400N0300000E
A145,LORNO,LI,372400N0190000E
A145,RESPA,LG,372448N0205730E
A145,BERAP,LG,372442N0213748E
A145,ANEPI,LG,372424N0221142E
A145,TRL,LG,372412N0222024E
A16,VADEN,LT,420354N0271300E
A16,FENER,LT,411712N0282130E
A16,IST,LT,405742N0284836E
A16,YAA,LT,402830N0291230E
A16,KFK,LT,384812N0303248E
A16,LEMDA,LT,375854N0303924E
A16,EKSEN,LT,375324N0304012E
A16,ELMAS,LT,373500N0304230E
A16,KUMRU,LT,372454N0304400E
A16,AYT,LT,365512N0304742E
A16,DERYA,LT,362454N0304842E
A16,TOMBI,LC,360224N0304930E
A16,DASNI,LC,353700N0305100E
A16,PEDER,LC,351042N0305154E
A16,MAROS,LC,343700N0305300E
A16,RASDA,HE,330600N0305700E
A16,MELDO,HE,320200N0310406E
A16,BLT,HE,313142N0310724E
A16,DEGDI,HE,311430N0311036E
A16,MERPI,HE,302754N0311912E
A16,CVO,HE,300530N0312318E
A17,RIXEN,LB,420454N0284600E
A17,NAMAN,LT,405954N0310000E
A17,YAVRU,LT,403454N0315000E
A17,KIZIK,LT,402506N0320900E
A17,BAG,LT,400412N0324836E
A17,YUCEL,LT,393442N0333506E
A17,BALAX,LT,392730N0334648E
A17,BELSU,LT,390754N0341712E
A17,KISLA,LT,390636N0342000E
A17,ERHAN,LT,383124N0351342E
A17,SOLSA,LT,380842N0354642E
A17,RATSI,LT,375012N0361312E
A17,REMPO,LT,373936N0362818E
A17,POGEN,LT,373012N0364136E
A17,ASBOM,LT,371530N0370230E
A17,BOYAT,LT,370718N0371436E
A17,GAZ,LT,365706N0372824E
A18,KDR,HL,322200N0133700E
A18,RYHAN,HL,321200N0133000E
A18,TAWUS,HL,315218N0131736E
A18,IZD,HL,312712N0130036E
A18,FUNGI,HL,303636N0120824E
A18,DERJE,HL,294742N0111900E
A18,IMN,DA,280400N0093942E
A180,OLDEP,UE,602318N1202824E
A180,LASEB,UE,601530N1193654E
A180,AKATA,UE,595330N1172512E
A180,OBESU,UI,592924N1151900E
A180,NESUM,UI,591130N1135306E
A180,SONEK,UI,584900N1120800E
A180,GEKTA,UI,584000N1113100E
A180,GISOP,UI,582848N1104512E
A180,ULMAS,UI,575836N1084836E
A180,KRN,UI,574618N1080406E
A180,MULME,UI,572248N1073924E
A180,BESUK,UI,555306N1061042E
A180,REGBI,UI,554348N1060200E
A180,LUMIG,UI,544800N1050900E
A2,LTP,LF,452918N0052618E
A2,RUBLO,LF,453524N0052100E
A2,GIRED,LF,454336N0051354E
A2,BARAN,LF,454518N0051218E
A2,DANBO,LF,455518N0050330E
A2,BUSIL,LF,461736N0044318E
A2,AMORO,LF,463000N0043218E
A2,PIBAT,LF,464824N0041530E
A2,CACHI,LF,470400N0040624E
A2,AVLON,LF,473336N0034848E
A2,OKRIX,LF,475800N0033406E
A2,BRY,LF,482424N0031742E
A201,LSO,VY,225854N0974518E
A201,ANSOS,VY,232700N0932748E
A201,TEBUL,VE,233630N0923736E
A201,AAT,VE,235324N0911418E
A201,BOGEP,VG,240406N0902448E
A201,RAJ,VG,242618N0883654E
A201,TEBID,VE,244100N0880148E
A201,BIKIK,VE,244648N0874754E
A201,MONDA,VE,252100N0862618E
A201,PPT,VE,253524N0850536E
A201,BODOG,VE,260136N0833454E
A201,LKN,VI,264530N0805342E
A202,BIGEX,VH,221312N1140148E
A202,SIKOU,ZG,205036N1113000E
A202,ISBIG,ZG,203842N1105430E
A202,SAMAS,ZG,203018N1102942E
A202,AGPOR,ZJ,201812N1101348E
A202,DABUB,ZJ,193112N1091136E
A202,NONEM,ZJ,191518N1085106E
A202,ASSAD,ZJ,182030N1074054E
A202,XONUS,VV,180412N1071400E
A202,NIVEN,VV,175306N1065542E
A202,DONGI,VV,174054N1063542E
A202,VILAO,VL,172200N1060500E
A202,ENBIL,VL,165124N1051436E
A202,SAV,VL,163342N1044600E
A202,OKENA,VT,161606N1042530E
A202,GUROK,VT,160330N1041106E
A202,RAMEI,VT,150242N1030042E
A203,KC,OP,245442N0671054E
A203,BEGIM,OP,244300N0670000E
A203,MELOM,OP,250336N0663136E
A204,AKSUN,UH,454506N1405418E
A204,ORISU,RJ,452800N1410348E
A204,RSE,RJ,451442N1411112E
A204,LEDAX,RJ,450542N1413406E
A204,YOROI,RJ,450030N1414706E
A206,LPB,VL,195442N1021018E
A206,NOHET,VL,192536N1033642E
A206,NALAO,VL,191930N1035536E
A206,VIN,VV,184400N1054006E
A206,KADIM,VV,183906N1060554E
A206,BUVAN,VV,183324N1063524E
A206,HATIN,VV,182800N1070254E
A206,ASSAD,ZJ,182030N1074054E
A211,VTW,WB,041930N1180824E
A211,BAXAL,WB,040218N1175836E
A211,TRK,WA,031930N1173342E
A211,ARIRU,WA,025324N1191012E
A211,GARUT,WA,023748N1200800E
A211,DIANI,WA,014530N1232054E
A211,MWB,WA,011924N1245718E
A212,PUPIS,NS,100000S1710530W
A212,MIGIS,NS,122748S1705254W
A212,TUT,NS,141954S1704312W
A212,GUGET,NS,174606S1700830W
A212,NU,NZ,190430S1695454W
A215,KEVOK,WA,042030S1145630E
A215,MKS,WA,050218S1193136E
A215,EMONA,WA,051554S1241300E
A215,LEBON,WA,053900S1324312E
A215,MKE,WA,083124S1402500E
A215,OSERO,AY,083600S1410000E
A215,ASIXA,AY,090424S1431242E
A215,NOGOT,AY,091948S1455206E
A215,PY,AY,092712S1471254E
A216,CS,YB,165100S1454436E
A216,LOCKA,YB,160124S1453630E
A216,MEMIG,YB,142218S1452018E
A216,APUKA,YB,120000S1445742E
A216,KIBAV,AY,072542S1441454E
A216,FACED,KZ,000000N1440000E
A216,GALEE,KZ,050000N1433700E
A216,HOOVR,KZ,095454N1425000E
A216,LOEBB,KZ,121430N1424042E
A216,RIDLL,KZ,160406N1422500E
A216,OATSS,KZ,164500N1421000E
A216,MONPI,RJ,210000N1403600E
A218,PEMID,UH,685206N1792224W
A218,GONAM,UH,682412N1763318E
A218,ABILA,UH,673230N1705142E
A218,RULOD,UH,671230N1690148E
A218,ASTIT,UH,670700N1683318E
A218,ADALU,UH,661042N1640930E
A218,OSKON,UH,651418N1603242E
A218,LALNA,UH,631830N1555142E
A218,GUBAD,UH,611318N1514448E
A218,TINID,UH,601836N1501024E
A218,IDNOR,UH,601448N1500412E
A218,RIPTA,UH,600042N1494100E
A218,BANOT,UH,594036N1490848E
A218,UNLUN,UH,590330N1480918E
A218,OKRUS,UH,584554N1474206E
A218,ABAGO,UH,561730N1441418E
A218,MOLUT,UH,551242N1425542E
A218,KIZON,UH,534018N1411336E
A218,NA,UH,530906N1404118E
A220,CINNY,KZ,361054N1244536W
A220,MAFIC,KZ,354430N1250330W
A220,MANEY,KZ,315654N1272248W
A220,AHNDO,KZ,242542N1312442W
A220,BINGE,KZ,162900N1352300W
A220,CRONN,KZ,084500N1385012W
A220,MAEVA,KZ,033000N1410500W
A220,MIMAS,NT,000000N1422700W
A220,MUPOD,NT,050000S1442600W
A220,MOMBO,NT,100000S1462600W
A220,MAGBA,NT,150000S1483100W
A220,MIKAT,NT,154100S1484800W
A220,TAF,NT,173248S1493606W
A221,CULPS,KZ,135954N1445730E
A221,ERTTS,PG,141006N1450142E
A221,MONIE,KZ,142212N1450648E
A221,LULJY,KZ,144812N1451736E
A221,HEXUG,KZ,145100N1451848E
A221,WILLE,KZ,145830N1452154E
A222,UNZ,PG,132718N1444400E
A222,CLANS,KZ,124818N1461842E
A222,AXIDE,KZ,123112N1465948E
A222,FIBSS,KZ,114600N1484700E
A222,KRONK,KZ,092400N1541100E
A222,ADUFO,KZ,071436N1574624E
A222,PNI,PT,065854N1581206E
A222,AXTEN,KZ,064918N1584042E
A222,UKS,PT,052112N1625724E
A222,STEFF,KZ,065912N1651518E
A222,RASON,PK,084318N1674342E
A224,VJB,WM,013948N1033942E
A224,VMR,WM,022318N1035218E
A225,GUKOL,UK,481142N0395636E
A225,DIBRO,UR,480506N0400930E
A225,KA,UR,473518N0410654E
A225,OKNOS,UR,470106N0421554E
A225,TIKNA,UR,462848N0431548E
A226,ALUMI,UI,533812N1100054E
A226,KUMOK,UI,525636N1105806E
A226,NERKA,UI,523100N1113200E
A228,PTG,UN,613554N0900048E
A228,DERID,UN,610836N0900436E
A228,KOLAB,UN,603124N0900936E
A228,WD,UN,601518N0901142E
A228,MIMLA,UN,600118N0902742E
A228,NERIM,UN,585206N0914218E
A228,ENS,UN,582800N0920712E
A228,ADEGI,UN,561736N0920518E
A228,MASIB,UN,545124N0920418E
A228,MIKET,UN,542600N0920400E
A229,LITUN,US,592000N0742954E
A229,IMETA,UN,591054N0755312E
A229,MEKSI,UN,590636N0762936E
A229,TEBGI,UN,590442N0764518E
A229,ADIMA,UN,584100N0794100E
A229,KUMOD,UN,581936N0825600E
A229,KELOK,UN,565442N0882918E
A229,ROTLI,UN,561618N0903642E
A229,OGANO,UN,555036N0923018E
A229,RO,UN,551554N0945242E
A230,DUTAR,UT,383918N0612300E
A230,DERKI,UT,383154N0650624E
A231,PEMAG,US,553348N0691136E
A231,OSMIK,UN,552112N0710736E
A231,MATIL,UN,550348N0723724E
A231,OMONA,UN,545800N0731830E
A233,OKARU,UR,435048N0434842E
A233,ABGAM,UR,434548N0433200E
A233,MOZAT,UR,434342N0430836E
A233,DUFLE,UR,432748N0425948E
A238,GALRA,UT,401242N0685336E
A238,IPGED,UT,400842N0685500E
A238,PF,UT,400336N0685642E
A238,ELTOB,UT,393300N0690418E
A238,INBIL,UT,392212N0690700E
A238,JD,UT,383236N0691848E
A238,KYLOB,UT,375918N0694824E
A238,RAMAN,UT,373700N0695400E
A24,OTARO,LF,390000N0044106E
A24,ZEM,DA,364742N0033418E
A240,INRAK,UT,390000N0561754E
A240,KESEK,UT,391700N0553354E
A240,KRS,UT,400224N0530042E
A240,TABAB,UT,405412N0523624E
A240,KERUL,UT,415130N0520818E
A242,GTQ,LF,485912N0064300E
A242,KEZOH,LF,483842N0064212E
A242,POGOL,LF,482354N0064136E
A242,IZPIQ,LF,481954N0064124E
A242,LASAT,LF,480930N0064100E
A242,MIRGU,LF,480112N0064042E
A242,TIRSO,LF,474824N0064012E
A242,ARPUS,LF,474024N0063954E
A242,HR,LF,473342N0064354E
A245,ANAKA,UR,450006N0372048E
A245,ARNAD,UR,452100N0363848E
A247,CYR,SO,044848N0522206W
A247,SILAT,SO,052736N0523230W
A247,BUXEX,SM,064500N0540000W
A248,KEGIB,UT,402100N0702512E
A248,ELMAL,UT,404218N0695018E
A25,SKESO,EG,494930N0030200W
A25,LERAK,LF,490106N0022430W
A25,DIN,LF,483512N0020454W
A25,LABUL,LF,481800N0015324W
A25,REN,LF,480406N0014430W
A25,GODAN,LF,473830N0015736W
A25,NTS,LF,470942N0013648W
A25,TIRAV,LF,463554N0012330W
A25,LUSON,LF,463000N0012106W
A25,PIQFU,LF,460742N0011236W
A25,OLERO,LF,455812N0010900W
A25,MAREN,LF,454400N0010342W
A25,ROYAN,LF,454000N0010212W
A25,ESUZE,LF,452100N0005506W
A25,ETPAR,LF,451148N0005142W
A25,BMC,LF,444936N0004318W
A25,OBLOC,LF,444036N0000912W
A25,ROLOL,LF,441718N0002130E
A25,RARAK,LF,440142N0004136E
A25,AGN,LF,435318N0005224E
A27,BRY,LF,482424N0031742E
A27,OSKIN,LF,474306N0032606E
A27,MOU,LF,464224N0033754E
A27,BAKNO,LF,463000N0033154E
A27,PESAN,LF,461200N0032312E
A27,CFA,LF,454712N0031130E
A27,MINPA,LF,450618N0031030E
A27,MOKDI,LF,445724N0031000E
A27,MEN,LF,443630N0030942E
A27,BRUSC,LF,434454N0030124E
A27,SIJAN,LF,431154N0025612E
A27,PPG,LF,424500N0025200E
A27,KANIG,LF,422848N0025900E
A27,BUYAH,DA,380648N0030906E
A27,ALR,DA,364130N0031254E
A277,GAMAN,UK,450000N0363530E
A277,DIBAT,UR,443424N0371530E
A277,NALUD,UR,442848N0372412E
A277,LIMAS,UR,441230N0374912E
A277,ARKUT,UR,440136N0380530E
A277,BAKRI,UR,435354N0381654E
A277,LAMET,UR,432100N0390518E
A277,IVMUD,UR,431554N0391806E
A277,BANUT,UG,425924N0395906E
A28,INB,LT,415706N0334224E
A28,ORMAN,LT,411730N0332312E
A28,GIRNO,LT,410100N0331518E
A28,NEMRO,LT,405430N0331212E
A28,ASTAL,LT,404424N0330730E
A28,BAG,LT,400412N0324836E
A28,TELVO,LT,392218N0325518E
A28,ERKUK,LT,391254N0325636E
A28,OBRUK,LT,380124N0330706E
A28,MUT,LT,365148N0331730E
A28,UMDOT,LT,362300N0331712E
A28,NEKES,LT,360912N0331706E
A28,MERAM,LT,360212N0331712E
A28,DOREN,LC,355554N0331700E
A28,LCA,LC,345224N0333730E
A28,LOSOS,LC,344236N0332212E
A28,BETID,LC,342712N0325806E
A28,ANANE,LC,341754N0324342E
A28,APLON,LC,335200N0320400E
A28,RASDA,HE,330600N0305700E
A285,SIV,LT,394724N0365336E
A285,ADVOK,LT,393012N0363006E
A285,GEM,LT,390912N0360142E
A285,TIRMA,LT,385630N0354554E
A285,ERHAN,LT,383124N0351342E
A285,TEVDA,LT,382224N0350400E
A285,ERCIS,LT,381612N0345636E
A285,SELVI,LT,375354N0343000E
A285,ERGEP,LT,372636N0335748E
A285,MUT,LT,365148N0331730E
A29,AGN,LF,435318N0005224E
A29,ASPET,LF,430000N0005848E
A29,GIROM,LE,424630N0005948E
A29,SADAF,DA,374812N0021942E
A29,CHE,DA,363606N0021136E
A29,INDIB,DA,361012N0015724E
A29,TRB,DA,352054N0013054E
A29,BAY,DA,334236N0010448E
A29,AGREB,DA,315300N0003442W
A29,TAGIG,DA,310000N0012148W
A29,BBS,DA,300124N0021348W
A29,TABAL,DA,291500N0030700W
A29,MERAT,DA,280130N0042942W
A29,BRENA,DA,260700N0063700W
A299,POGON,UT,395036N0624448E
A299,LBA,UT,385448N0633524E
A299,PENJI,UT,380524N0644900E
A299,ABNEP,UT,374900N0651300E
A299,RAPTA,UT,372700N0653800E
A3,DOMOD,LF,475148N0011712E
A3,GILUX,LF,474330N0014436E
A3,MOTAL,LF,473436N0021312E
A3,SANCE,LF,471600N0024430E
A3,KOTIS,LF,471348N0024812E
A3,TRARE,LF,470912N0025548E
A3,LAMUT,LF,470706N0025906E
A3,ATRID,LF,465054N0032430E
A3,MOU,LF,464224N0033754E
A3,OMANI,LF,462724N0034606E
A3,FEDZI,LF,462148N0034918E
A3,LESPI,LF,460648N0035730E
A3,BELVU,LF,455712N0040242E
A3,ONZON,LF,455006N0040630E
A3,BELEP,LF,454730N0040754E
A3,MURRO,LF,452000N0042230E
A3,AMIKO,LF,450742N0042900E
A3,MTL,LF,443318N0044648E
A3,EVALA,LF,442742N0051406E
A3,RETNO,LF,442248N0053724E
A3,PERUS,LF,440912N0060612E
A3,GEMFU,LF,435930N0060606E
A3,AMFOU,LF,433548N0060606E
A3,GILON,LF,432642N0060654E
A3,LUC,LF,432300N0061524E
A3,RUBIT,LF,431318N0062442E
A3,STP,LF,431312N0063606E
A3,LERMA,LF,431000N0070424E
A3,OMARD,LF,430618N0073530E
A3,MERLU,LF,430448N0074736E
A3,GURPA,LF,430106N0081712E
A3,SODRI,LF,430048N0082218E
A3,NORKA,LF,425712N0084730E
A3,SUDAS,LF,425618N0085424E
A3,MILNO,LF,425348N0091242E
A3,CAPCO,LF,425048N0093430E
A3,MIRSA,LF,424924N0094500E
A30,TRACA,LF,505106N0015806E
A30,RUCAC,LF,505300N0014430E
A30,IRKUN,EG,505518N0012800E
A300,KIKER,SV,150548N0651748W
A300,ETALA,SV,140312N0645654W
A300,OPMEB,SV,130500N0643854W
A300,MASPA,SV,122130N0642442W
A300,BAHIA,SV,113300N0641000W
A300,MTA,SV,105448N0635718W
A300,SILED,SV,103324N0634236W
A300,PILAR,SV,102212N0633448W
A300,MUN,SV,094436N0630912W
A300,GNA,SV,081736N0624512W
A300,ISEDI,SV,070206N0621848W
A300,XONIM,SV,044142N0610148W
A300,RANET,UN,561700N0910800E
A300,ROTLI,UN,561618N0903642E
A300,ADONI,UN,561942N0885354E
A300,BINBA,UN,562248N0860000E
A300,TOKMO,UN,562300N0851242E
A300,NN,UN,561412N0835918E
A300,UNAGO,UN,561548N0831530E
A300,ABDEK,UN,561818N0814248E
A300,KENGA,UN,561912N0804206E
A300,KZ,UN,562018N0782124E
A300,GEROS,UN,561948N0773206E
A300,ML,UN,561336N0735548E
A300,RUBOR,US,564400N0701318E
A301,NEFTU,MU,203300N0772648W
A301,EMABU,MU,192924N0772824W
A301,IMADI,MK,185730N0771648W
A301,SAVEM,MK,182618N0770130W
A301,MLY,MK,175548N0764642W
A301,ALPEN,MK,171730N0763600W
A301,OTAMO,MK,150000N0755812W
A301,SIPOK,SK,125606N0752512W
A301,MORGI,SK,113924N0750506W
A301,BAQ,SK,104742N0745136W
A301,ISOTO,SK,095536N0743654W
A301,ARMOL,SK,093606N0743124W
A301,ILNAG,SK,090112N0742136W
A301,DAGAN,SK,075912N0740412W
A301,LONAK,SK,072136N0735348W
A301,EJA,SK,070142N0734818W
A301,LOURA,SK,064130N0734306W
A301,YACAR,SK,062854N0733948W
A301,GIKPU,SK,060130N0734524W
A301,BUV,SK,053154N0735130W
A301,ZIP,SK,050106N0735912W
A301,EVRAK,SK,045106N0733612W
A301,ANLAV,SK,044324N0731842W
A301,VIDAL,SK,041900N0732118W
A301,VVC,SK,040400N0732254W
A301,UBRID,SK,031206N0725748W
A301,SJE,SK,023200N0723824W
A301,DUBRA,SK,012118N0715642W
A301,ISORI,SK,000154S0712636W
A301,ASKAT,SK,012300S0705724W
A301,DADIL,SK,022506S0703500W
A301,PAPEM,SK,031042S0701818W
A301,ROKUL,SK,032430S0701330W
A301,BODAT,SK,035254S0700318W
A301,LET,SK,041118S0695624W
A301,SPRIN,SB,043600S0694736W
A301,VUKEB,SB,045548S0694036W
A301,ARNUB,SB,061536S0691200W
A301,UBLUN,SB,074124S0684112W
A301,JULIA,SB,091236S0680812W
A301,RCO,SB,095236S0675418W
A301,PADUP,SB,102924S0673148W
A301,NAXEV,SL,110924S0670748W
A301,KETIP,SL,140436S0652224W
A301,TRI,SL,144800S0645618W
A301,IREDO,SL,153048S0642912W
A301,PAKES,SL,162906S0635224W
A301,VIR,SL,173736S0630854W
A302,KUPON,US,594500N0751654E
A302,AMATA,UN,593548N0803800E
A302,LIKOT,UN,590600N0871212E
A302,KEDUN,UN,585854N0881606E
A302,DITNI,UN,583524N0911706E
A302,ENS,UN,582800N0920712E
A303,LETIK,US,551200N0683200E
A303,PSK,UA,544700N0691306E
A304,JUL,SP,152806S0700906W
A304,ELAKO,SL,155536S0691818W
A304,PAZ,SL,163042S0681400W
A305,PTS,SB,314306S0521936W
A305,UGELO,SB,324042S0530848W
A305,BOLAT,SU,333948S0540042W
A305,LITOS,SU,342730S0544336W
A305,LDS,SU,345130S0550530W
A305,CRR,SU,345000S0560130W
A305,TOKAM,SU,344654S0564254W
A305,DORVO,SU,344300S0573100W
A305,EZE,SA,344924S0583206W
A305,TINRI,US,571006N0651854E
A305,DOMEK,US,565948N0660442E
A305,ISKET,US,565018N0664536E
A305,LUKAS,US,560830N0692536E
A305,ABITI,US,560836N0693906E
A305,ML,UN,561336N0735548E
A306,LDS,SU,345130S0550530W
A306,LUCIO,SU,350318S0555218W
A306,DAGUS,SU,350218S0560724W
A306,UGIMI,SU,345900S0565300W
A306,PTA,SA,345836S0575354W
A306,EZE,SA,344924S0583206W
A306,OMONA,UN,545800N0731830E
A306,RUMOD,UN,551812N0734812E
A306,ML,UN,561336N0735548E
A306,SUDOK,UN,571718N0750212E
A306,MAPID,UN,575812N0754730E
A306,XV,UN,583524N0763030E
A306,BADRI,UN,585548N0764048E
A306,TEBGI,UN,590442N0764518E
A306,GEMRI,UN,592900N0765818E
A306,INLAS,UN,601654N0772448E
A306,SOREB,UN,604206N0773930E
A307,FOZ,SB,253500S0543012W
A307,ALGEL,SG,255212S0551012W
A307,LIVOX,SG,262918S0563800W
A307,SAMGU,SG,265118S0573230W
A307,BOBIK,SG,271242S0582724W
A307,SIS,SA,272648S0590324W
A307,ESMOS,SA,280542S0594800W
A307,SARNA,SA,290624S0605936W
A307,ERE,SA,295224S0615530W
A307,PULOV,SA,302148S0624100W
A307,TREJO,SA,304636S0632018W
A307,CBA,SA,311848S0641212W
A307,ALDEX,SA,313936S0651148W
A307,SOLER,SA,320618S0663042W
A307,SALBO,SA,323048S0674612W
A307,NIRTA,SA,323930S0681400W
A307,DOZ,SA,324954S0684730W
A307,ESITO,SA,335400S0685206W
A307,NEBEG,SC,334800S0695400W
A307,YESOS,SC,334542S0701548W
A307,VISEK,SC,334342S0704554W
A307,AMB,SC,332512S0704706W
A307,KEDRA,UN,542300N0913000E
A307,RATKO,UN,543436N0884006E
A307,RUPES,UN,551012N0874730E
A307,AGLAK,UN,561736N0860000E
A307,SP,UN,564130N0851948E
A307,POGUT,UN,570754N0844412E
A307,KUMOD,UN,581936N0825600E
A307,TOGBA,UN,592342N0804300E
A307,TEBTO,UN,602530N0782130E
A307,SOREB,UN,604206N0773930E
A308,ML,UN,561336N0735548E
A308,GEBSA,UN,555224N0775518E
A308,OSNAB,UN,553806N0795354E
A308,OGAMA,UN,552806N0810806E
A308,KD,UN,551654N0822418E
A308,EB,UN,545542N0830506E
A308,OGATI,UN,545130N0844006E
A308,ARBAR,UN,545030N0845912E
A308,RISPA,UN,544924N0851742E
A308,LEKOS,UN,544706N0855442E
A308,RATKO,UN,543436N0884006E
A308,LARNA,UN,541200N0895200E
A308,DOREM,UN,535618N0904206E
A308,ABK,UN,534442N0912306E
A308,INBER,UN,533042N0914900E
A308,KARSI,UN,532306N0920242E
A308,TR,UN,520900N0935418E
A308,GINOM,ZM,510000N0975200E
A309,COA,SB,295700S0510848W
A309,NELOX,SB,295948S0510954W
A309,ARVUS,SB,303224S0513136W
A309,TEMEK,SB,303430S0513300W
A309,ARSAG,SB,304312S0513848W
A309,PTS,SB,314306S0521936W
A309,UGURA,SU,323524S0531924W
A309,OGMAR,SU,331736S0540854W
A309,TIDRU,SU,340100S0550100W
A309,SOLIS,SU,342100S0552530W
A309,CRR,SU,345000S0560130W
A309,KUDEB,UN,522800N0852300E
A309,GIMOD,UN,531112N0853312E
A309,ASBET,UN,542724N0855200E
A309,GITIS,UN,545836N0860000E
A309,KESED,UN,551612N0860630E
A309,ERUPA,UN,553624N0873042E
